timestamp,tag_id,anchor_id,actual_x,actual_y,actual_distance,reported_distance,line_of_sight,notes
2026-06-09T11:16:05.648+08:00,T01,A01,,,2.0,2.1482,yes,clean calibration 2m
2026-06-09T11:16:06.661+08:00,T01,A01,,,2.0,1.9418,yes,clean calibration 2m
2026-06-09T11:16:08.681+08:00,T01,A01,,,2.0,2.0356,yes,clean calibration 2m
2026-06-09T11:16:09.694+08:00,T01,A01,,,2.0,2.0028,yes,clean calibration 2m
2026-06-09T11:16:10.708+08:00,T01,A01,,,2.0,2.2232,yes,clean calibration 2m
2026-06-09T11:16:11.717+08:00,T01,A01,,,2.0,2.0684,yes,clean calibration 2m
2026-06-09T11:16:12.731+08:00,T01,A01,,,2.0,2.2045,yes,clean calibration 2m
2026-06-09T11:16:13.743+08:00,T01,A01,,,2.0,2.2326,yes,clean calibration 2m
2026-06-09T11:16:14.755+08:00,T01,A01,,,2.0,2.2138,yes,clean calibration 2m
2026-06-09T11:16:15.772+08:00,T01,A01,,,2.0,2.2138,yes,clean calibration 2m
2026-06-09T11:16:16.785+08:00,T01,A01,,,2.0,2.1388,yes,clean calibration 2m
2026-06-09T11:16:17.797+08:00,T01,A01,,,2.0,2.1904,yes,clean calibration 2m
2026-06-09T11:16:18.809+08:00,T01,A01,,,2.0,2.2138,yes,clean calibration 2m
2026-06-09T11:16:19.820+08:00,T01,A01,,,2.0,2.1904,yes,clean calibration 2m
2026-06-09T11:16:20.829+08:00,T01,A01,,,2.0,2.2045,yes,clean calibration 2m
2026-06-09T11:16:21.843+08:00,T01,A01,,,2.0,2.1810,yes,clean calibration 2m
2026-06-09T11:16:22.855+08:00,T01,A01,,,2.0,2.2138,yes,clean calibration 2m
2026-06-09T11:16:23.872+08:00,T01,A01,,,2.0,2.1810,yes,clean calibration 2m
2026-06-09T11:16:24.883+08:00,T01,A01,,,2.0,2.1904,yes,clean calibration 2m
2026-06-09T11:16:25.895+08:00,T01,A01,,,2.0,2.1904,yes,clean calibration 2m
2026-06-09T11:16:26.909+08:00,T01,A01,,,2.0,2.1669,yes,clean calibration 2m
2026-06-09T11:16:27.921+08:00,T01,A01,,,2.0,2.1998,yes,clean calibration 2m
2026-06-09T11:16:28.936+08:00,T01,A01,,,2.0,2.2045,yes,clean calibration 2m
2026-06-09T11:16:29.949+08:00,T01,A01,,,2.0,2.2138,yes,clean calibration 2m
2026-06-09T11:16:30.959+08:00,T01,A01,,,2.0,2.1388,yes,clean calibration 2m
2026-06-09T11:16:31.973+08:00,T01,A01,,,2.0,2.2232,yes,clean calibration 2m
2026-06-09T11:16:32.983+08:00,T01,A01,,,2.0,2.2654,yes,clean calibration 2m
