timestamp,tag_id,anchor_id,actual_x,actual_y,actual_distance,reported_distance,line_of_sight,notes
2026-06-09T11:18:08.091+08:00,T01,A01,,,5.0,4.7654,yes,clean calibration 5m
2026-06-09T11:18:09.103+08:00,T01,A01,,,5.0,5.0281,yes,clean calibration 5m
2026-06-09T11:18:10.117+08:00,T01,A01,,,5.0,5.4736,yes,clean calibration 5m
2026-06-09T11:18:11.130+08:00,T01,A01,,,5.0,4.9812,yes,clean calibration 5m
2026-06-09T11:18:12.144+08:00,T01,A01,,,5.0,5.6613,yes,clean calibration 5m
2026-06-09T11:18:13.155+08:00,T01,A01,,,5.0,5.6190,yes,clean calibration 5m
2026-06-09T11:18:14.166+08:00,T01,A01,,,5.0,4.8733,yes,clean calibration 5m
2026-06-09T11:18:15.175+08:00,T01,A01,,,5.0,4.9905,yes,clean calibration 5m
2026-06-09T11:18:16.188+08:00,T01,A01,,,5.0,4.9249,yes,clean calibration 5m
2026-06-09T11:18:17.201+08:00,T01,A01,,,5.0,5.3189,yes,clean calibration 5m
2026-06-09T11:18:18.211+08:00,T01,A01,,,5.0,5.3986,yes,clean calibration 5m
2026-06-09T11:18:19.221+08:00,T01,A01,,,5.0,5.5815,yes,clean calibration 5m
2026-06-09T11:18:20.235+08:00,T01,A01,,,5.0,5.4830,yes,clean calibration 5m
2026-06-09T11:18:21.246+08:00,T01,A01,,,5.0,5.4174,yes,clean calibration 5m
2026-06-09T11:18:22.259+08:00,T01,A01,,,5.0,4.9577,yes,clean calibration 5m
2026-06-09T11:18:23.273+08:00,T01,A01,,,5.0,5.5065,yes,clean calibration 5m
2026-06-09T11:18:24.286+08:00,T01,A01,,,5.0,4.7935,yes,clean calibration 5m
2026-06-09T11:18:25.299+08:00,T01,A01,,,5.0,5.1594,yes,clean calibration 5m
2026-06-09T11:18:26.313+08:00,T01,A01,,,5.0,5.5534,yes,clean calibration 5m
2026-06-09T11:18:27.322+08:00,T01,A01,,,5.0,5.4830,yes,clean calibration 5m
2026-06-09T11:18:28.331+08:00,T01,A01,,,5.0,5.1875,yes,clean calibration 5m
2026-06-09T11:28:40.004+08:00,T01,A01,,,1.0,5.2786,yes,clean calibration 1m
2026-06-09T11:28:41.017+08:00,T01,A01,,,1.0,5.1904,yes,clean calibration 1m
2026-06-09T11:28:42.030+08:00,T01,A01,,,1.0,5.3297,yes,clean calibration 1m
2026-06-09T11:28:43.041+08:00,T01,A01,,,1.0,5.4086,yes,clean calibration 1m
2026-06-09T11:28:44.050+08:00,T01,A01,,,1.0,5.3529,yes,clean calibration 1m
2026-06-09T11:28:45.064+08:00,T01,A01,,,1.0,5.9933,yes,clean calibration 1m
2026-06-09T11:28:46.076+08:00,T01,A01,,,1.0,6.4343,yes,clean calibration 1m
