timestamp,tag_id,anchor_id,actual_x,actual_y,actual_distance,reported_distance,line_of_sight,notes
2026-06-09T11:16:49.244+08:00,T01,A01,,,3.0,3.0018,yes,clean calibration 3m
2026-06-09T11:16:50.256+08:00,T01,A01,,,3.0,2.7392,yes,clean calibration 3m
2026-06-09T11:16:51.272+08:00,T01,A01,,,3.0,2.7720,yes,clean calibration 3m
2026-06-09T11:16:52.285+08:00,T01,A01,,,3.0,3.4052,yes,clean calibration 3m
2026-06-09T11:16:53.298+08:00,T01,A01,,,3.0,2.7720,yes,clean calibration 3m
2026-06-09T11:16:54.309+08:00,T01,A01,,,3.0,2.7814,yes,clean calibration 3m
2026-06-09T11:16:55.320+08:00,T01,A01,,,3.0,2.7720,yes,clean calibration 3m
2026-06-09T11:16:56.332+08:00,T01,A01,,,3.0,2.7626,yes,clean calibration 3m
2026-06-09T11:16:57.346+08:00,T01,A01,,,3.0,2.8142,yes,clean calibration 3m
2026-06-09T11:16:58.359+08:00,T01,A01,,,3.0,2.7157,yes,clean calibration 3m
2026-06-09T11:16:59.373+08:00,T01,A01,,,3.0,2.7626,yes,clean calibration 3m
2026-06-09T11:17:00.386+08:00,T01,A01,,,3.0,2.9221,yes,clean calibration 3m
2026-06-09T11:17:01.400+08:00,T01,A01,,,3.0,2.9268,yes,clean calibration 3m
2026-06-09T11:17:02.409+08:00,T01,A01,,,3.0,3.0675,yes,clean calibration 3m
2026-06-09T11:17:03.421+08:00,T01,A01,,,3.0,2.9127,yes,clean calibration 3m
2026-06-09T11:17:04.434+08:00,T01,A01,,,3.0,3.0018,yes,clean calibration 3m
2026-06-09T11:17:05.448+08:00,T01,A01,,,3.0,2.9924,yes,clean calibration 3m
2026-06-09T11:17:06.458+08:00,T01,A01,,,3.0,2.9690,yes,clean calibration 3m
2026-06-09T11:17:07.467+08:00,T01,A01,,,3.0,3.0675,yes,clean calibration 3m
2026-06-09T11:17:08.479+08:00,T01,A01,,,3.0,3.1425,yes,clean calibration 3m
2026-06-09T11:17:09.494+08:00,T01,A01,,,3.0,2.9033,yes,clean calibration 3m
2026-06-09T11:17:10.505+08:00,T01,A01,,,3.0,2.8893,yes,clean calibration 3m
2026-06-09T11:17:11.517+08:00,T01,A01,,,3.0,3.0769,yes,clean calibration 3m
2026-06-09T11:17:12.531+08:00,T01,A01,,,3.0,3.5506,yes,clean calibration 3m
2026-06-09T11:17:13.544+08:00,T01,A01,,,3.0,3.0018,yes,clean calibration 3m
2026-06-09T11:17:14.557+08:00,T01,A01,,,3.0,2.9362,yes,clean calibration 3m
2026-06-09T11:27:28.890+08:00,T01,A01,,,1.0,1.1295,yes,clean calibration 1m
2026-06-09T11:27:29.904+08:00,T01,A01,,,1.0,1.1202,yes,clean calibration 1m
2026-06-09T11:27:30.915+08:00,T01,A01,,,1.0,1.1109,yes,clean calibration 1m
2026-06-09T11:27:43.137+08:00,T01,A01,,,1.0,3.2180,yes,clean calibration 1m
2026-06-09T11:27:44.149+08:00,T01,A01,,,1.0,3.0462,yes,clean calibration 1m
2026-06-09T11:27:45.161+08:00,T01,A01,,,1.0,3.0694,yes,clean calibration 1m
2026-06-09T11:27:46.173+08:00,T01,A01,,,1.0,3.0555,yes,clean calibration 1m
2026-06-09T11:27:47.185+08:00,T01,A01,,,1.0,3.4825,yes,clean calibration 1m
2026-06-09T11:27:48.196+08:00,T01,A01,,,1.0,3.1112,yes,clean calibration 1m
2026-06-09T11:27:49.210+08:00,T01,A01,,,1.0,3.2737,yes,clean calibration 1m
2026-06-09T11:27:50.220+08:00,T01,A01,,,1.0,3.0370,yes,clean calibration 1m
2026-06-09T11:27:51.229+08:00,T01,A01,,,1.0,3.0138,yes,clean calibration 1m
2026-06-09T11:27:52.242+08:00,T01,A01,,,1.0,3.5660,yes,clean calibration 1m
2026-06-09T11:27:53.254+08:00,T01,A01,,,1.0,3.3943,yes,clean calibration 1m
2026-06-09T11:27:54.265+08:00,T01,A01,,,1.0,3.3293,yes,clean calibration 1m
2026-06-09T11:27:55.275+08:00,T01,A01,,,1.0,3.1112,yes,clean calibration 1m
2026-06-09T11:27:56.284+08:00,T01,A01,,,1.0,3.0370,yes,clean calibration 1m
2026-06-09T11:27:57.295+08:00,T01,A01,,,1.0,3.0370,yes,clean calibration 1m
2026-06-09T11:27:58.304+08:00,T01,A01,,,1.0,3.0694,yes,clean calibration 1m
2026-06-09T11:27:59.316+08:00,T01,A01,,,1.0,2.9256,yes,clean calibration 1m
2026-06-09T11:28:00.326+08:00,T01,A01,,,1.0,2.8977,yes,clean calibration 1m
2026-06-09T11:28:01.341+08:00,T01,A01,,,1.0,2.9627,yes,clean calibration 1m
2026-06-09T11:28:02.355+08:00,T01,A01,,,1.0,3.0602,yes,clean calibration 1m
2026-06-09T11:28:03.367+08:00,T01,A01,,,1.0,3.1344,yes,clean calibration 1m
2026-06-09T11:28:04.378+08:00,T01,A01,,,1.0,3.1019,yes,clean calibration 1m
2026-06-09T11:28:05.390+08:00,T01,A01,,,1.0,3.0602,yes,clean calibration 1m
2026-06-09T11:28:06.404+08:00,T01,A01,,,1.0,3.1205,yes,clean calibration 1m
2026-06-09T11:28:07.417+08:00,T01,A01,,,1.0,3.2505,yes,clean calibration 1m
2026-06-09T11:28:08.431+08:00,T01,A01,,,1.0,3.1019,yes,clean calibration 1m
2026-06-09T11:28:09.442+08:00,T01,A01,,,1.0,3.1762,yes,clean calibration 1m
2026-06-09T11:28:10.457+08:00,T01,A01,,,1.0,3.0787,yes,clean calibration 1m
2026-06-09T11:28:11.468+08:00,T01,A01,,,1.0,3.2226,yes,clean calibration 1m
2026-06-09T11:28:12.480+08:00,T01,A01,,,1.0,3.1669,yes,clean calibration 1m
2026-06-09T11:28:13.490+08:00,T01,A01,,,1.0,3.0138,yes,clean calibration 1m
2026-06-09T11:28:14.501+08:00,T01,A01,,,1.0,3.1205,yes,clean calibration 1m
2026-06-09T11:28:15.511+08:00,T01,A01,,,1.0,3.2644,yes,clean calibration 1m
2026-06-09T11:28:16.520+08:00,T01,A01,,,1.0,3.1669,yes,clean calibration 1m
2026-06-09T11:28:17.532+08:00,T01,A01,,,1.0,3.0277,yes,clean calibration 1m
2026-06-09T11:28:18.545+08:00,T01,A01,,,1.0,3.1205,yes,clean calibration 1m
2026-06-09T11:28:19.555+08:00,T01,A01,,,1.0,3.1437,yes,clean calibration 1m
2026-06-09T11:28:20.568+08:00,T01,A01,,,1.0,3.1344,yes,clean calibration 1m
